unit_id,ro,tag,vin_number,year,make,model,miles,ro_type,xtime_stage,advisor_code,tech_code,parts_emp_code,in_time,promise_at,mt_raw,pt_raw,mt_min,pt_min,parts_status,recon_status,blocker,hours_labor,cost_labor,cost_parts,cost_total,tread_lf,tread_rf,tread_lr,tread_rr,brake_lf,brake_rf,brake_lr,brake_rr,last_seen
H7261B,6049583,7261B,123958,2024,Chevrolet,Equinox,34765,Internal,Dispatch,LB,,,12/5/2025 17:00,12/6/2025 17:00,1d,,1440,,,At Risk,Tech Unassigned,,0,,255,,,,,,,,,12/6/2025
H7381A,6049567,7381A,C86255,2018,Ford,Explorer,62976,Internal,Repair,LB,CW,CS,12/4/2025 17:00,12/5/2025 17:00,1d,,1440,,COMPLETE,Past Promise,QC / Finalize,3.47,711.74,548.76,1260.5,8,7,9,9,3,3,10,10,12/6/2025
Hu5159a,"
6049484",5159A,,2020,SOUL,,,,Dispatch,,,,11/28/2025,,,,,,,,Tech Unassigned,,,,,,,,,,,,,
H7287a,6049485,7287A,,2024,SANTA FE,,,,Dispatch,,,,11/28/2025,,,,,,,,Tech Unassigned,,,,,,,,,,,,,
H7261b,6049583,7261B,,2024,EQUINOX,,,,Dispatch,LB,,CS,12/5/2025,,,,,,,,Tech Unassigned,,,,,,,,,,,,,
Hu5175,6049486,51755,,2020,TACOMA,,,,Inspection,SW,CW,CS,11/28/2025,,,,,,,,Inspection,,,,,,,,,,,,,
Hu5178,6049462,5178,,2022,SIERRA 1500,,,,Repair,SW,GH,CS,11/26/2025,,,,,,,,Repair,,,,,,,,,,,,,
H6874,6049506,6874,,2024,SANTA CRUZ,,,,Repair,SW,TS,CS,12/2/2025,,,,,,,,Repair,,,,,,,,,,,,,
H7213b,6049512,7213B,,2024,SANTA CRUZ,,,,Repair,SW,TS,CS,12/2/2025,,,,,,,,Repair,,,,,,,,,,,,,
,6049546,9896,,2018,TUCSON,,,,Repair,SW,JEC,CS,12/4/2025,,,,,,,,Repair,,,,,,,,,,,,,
Hu5180,6049552,5180,,2017,RAM PICKUP 1500,,,,Repair,TTS,CW,CS,12/4/2025,,,,,,,,Repair,,,,,,,,,,,,,
H7078b,6049566,7078B,,2014,Q5,,,,Repair,LB,CW,CS,12/4/2025,,,,,,,,Repair,,,,,,,,,,,,,
H7381a,6049567,7381A,,2018,EXPLORER,,,,Repair,LB,CW,CS,12/4/2025,,,,,,,,Repair,,,,,,,,,,,,,
H7337a,6049581,7337A,,2017,ACADIA,,,,Repair,LB,GH,CS,12/5/2025,,,,,,,,Repair,,,,,,,,,,,,,
